c_accountid,d_observation_date,c_entity, n_account_balance ,d_acq_date,n_active_num,n_tel_notel,d_last_payment_date,n_pay_30,n_pay_60,n_pay_90,n_pay_180,n_pay_count_30,n_pay_count_60,n_pay_count_90,n_pay_count_180,c_type_of_portfolio_rap,d_last_sms_date,n_sms_count,d_rpc_date,n_deceased,n_bancrupcy_failed_lawsuits_etc,d_lawsuit_date,d_payment_order_date,d_title_day,d_execution_date,d_unsuccesfull_exe_date,d_maturity_date,n_in_dialler_obs_day,n_arrangement_active,d_inactivation_date,d_last_broken_date,c_subregion,gender,age,d_last_inbound_date,Target_Amount,Target
4169220,01/01/2022,Entity 1," 4,643.12 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,28/04/2015,1,0,,,Subregion_59,M,31,,3500,1
4169508,01/01/2022,Entity 1," 4,823.09 ",13/04/2018,4,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,24/08/2018,15/10/2018,21/10/2018,10/05/2020,26/10/2015,1,0,,,Subregion_28,M,28,,0,0
4169571,01/01/2022,Entity 1, 966.41 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,4,,0,0,,,,,,23/02/2015,1,0,,,NULL,M,35,,0,0
4180740,01/01/2022,Entity 1, 496.58 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,23/07/2018,31/07/2018,02/10/2018,09/10/2018,27/09/2020,20/12/2015,1,0,,,Subregion_5,M,31,,0,0
4167348,01/01/2022,Entity 1," 2,609.66 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,29/03/2015,1,0,,,Subregion_25,M,30,,0,0
4170061,01/01/2022,Entity 1," 1,708.74 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,03/06/2018,16/06/2018,23/07/2018,04/08/2018,,28/06/2015,1,0,,,Subregion_49,M,38,,0,0
4170112,01/01/2022,Entity 1, 384.60 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,23/07/2018,30/08/2018,04/11/2018,28/12/2020,25/06/2019,05/09/2015,1,0,,,Subregion_30,M,54,,0,0
4172550,01/01/2022,Entity 1, 535.07 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,01/07/2018,13/07/2018,,,,28/07/2015,1,0,,,Subregion_21,M,40,,350,1
4172687,01/01/2022,Entity 1, 358.12 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,23/01/2015,1,0,,,Subregion_43,K,45,,0,0
4175555,01/01/2022,Entity 1," 2,116.28 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,24/08/2018,26/01/2019,09/03/2019,,27/09/2015,1,0,,,Subregion_48,M,36,,0,0
4158089,01/01/2022,Entity 2," 2,152.26 ",04/09/2018,1,1,,0,0,0,0,0,0,0,0,utilities,,0,,0,0,08/12/2018,,,,,16/04/2018,1,0,,,Subregion_3,M,72,,0,0
4158132,01/01/2022,Entity 2," 1,201.72 ",04/09/2018,1,1,,0,0,0,0,0,0,0,0,utilities,,0,,0,0,09/12/2018,05/07/2019,04/02/2020,09/02/2020,,03/04/2018,1,0,,,Subregion_52,N,-9999,,0,0
4158157,01/01/2022,Entity 2, 872.57 ,04/09/2018,1,1,,0,0,0,0,0,0,0,0,utilities,,0,,0,0,09/12/2018,16/12/2018,11/02/2019,09/03/2019,,27/04/2018,1,0,,,NULL,K,64,,0,0
4167835,01/01/2022,Entity 1," 2,598.07 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,16/07/2018,,,,,16/12/2015,1,0,,,Subregion_17,K,70,,0,0
4167875,01/01/2022,Entity 1, 458.53 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,4,,0,0,,,,,,22/02/2015,1,0,,,Subregion_43,K,61,,253.18,1
4167905,01/01/2022,Entity 1," 1,246.18 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,27/12/2021,6,,0,0,,,,,,19/12/2014,1,0,,,Subregion_30,K,64,,1250.83,1
4168166,01/01/2022,Entity 1," 2,980.31 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,16/07/2018,10/09/2018,12/11/2018,19/11/2018,27/11/2020,26/01/2016,1,0,,,Subregion_5,K,43,,0,0
4168202,01/01/2022,Entity 1, 328.53 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,2,,0,0,23/07/2018,24/08/2018,30/10/2018,02/11/2018,,20/09/2015,1,0,,,Subregion_43,K,46,,0,0
4170445,01/01/2022,Entity 1, 831.59 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,21/04/2015,1,0,,,NULL,M,27,,0,0
4175575,01/01/2022,Entity 1, 304.17 ,13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2018,,,,,20/09/2015,1,0,,,Subregion_3,M,35,,0,0
4177148,01/01/2022,Entity 1," 1,361.68 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,03/06/2018,15/06/2018,12/08/2018,31/07/2020,24/06/2019,28/06/2015,1,0,,,Subregion_6,K,43,,0,0
4182495,01/01/2022,Entity 1, 791.38 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/11/2014,1,0,,,Subregion_50,M,43,,0,0
4182601,01/01/2022,Entity 1," 1,351.80 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/12/2014,1,0,,,Subregion_47,K,38,,0,0
4185356,01/01/2022,Entity 1," 1,179.97 ",13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,27/12/2021,10,,0,0,,,,,,25/11/2013,1,0,18/06/2021,02/07/2021,Subregion_28,K,34,,100,1
4185468,01/01/2022,Entity 1," 1,729.66 ",13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,29/07/2018,22/09/2018,09/10/2018,,26/11/2015,1,0,,,Subregion_22,M,27,,0,0
4171774,01/01/2022,Entity 1, 491.67 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/03/2015,1,0,,,Subregion_11,M,34,,0,0
4171800,01/01/2022,Entity 1, 961.12 ,13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,15/07/2018,30/08/2018,04/11/2018,01/03/2021,25/06/2019,20/09/2015,1,0,,,Subregion_3,M,48,,0,0
4171878,01/01/2022,Entity 1, 693.49 ,13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,20/10/2014,1,0,,,Subregion_28,M,71,,0,0
4173472,01/01/2022,Entity 1," 1,905.76 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,24/04/2015,1,0,,,NULL,M,50,,0,0
4176391,01/01/2022,Entity 1, 367.76 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,23/07/2018,30/08/2018,06/10/2018,09/10/2018,29/11/2020,18/12/2015,1,0,,,Subregion_29,M,46,,0,0
4176583,01/01/2022,Entity 1," 1,068.78 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,16/05/2015,1,0,,31/08/2021,NULL,K,30,,0,0
4181347,01/01/2022,Entity 1, 401.46 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2018,10/09/2018,26/11/2018,27/11/2018,07/12/2019,28/09/2015,1,0,,,Subregion_5,M,29,,0,0
4182129,01/01/2022,Entity 1, 475.75 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,15/07/2018,,,,,02/09/2015,1,0,,,Subregion_48,M,46,,0,0
4182169,01/01/2022,Entity 1," 1,837.24 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,22/09/2014,1,0,,,Subregion_43,M,48,,0,0
4182215,01/01/2022,Entity 1," 1,400.38 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,23/01/2015,1,0,,,Subregion_50,M,45,,0,0
4183715,01/01/2022,Entity 1," 1,114.41 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,16/07/2018,10/09/2018,04/11/2018,06/11/2018,,13/12/2015,1,0,,,Subregion_65,M,66,,0,0
4183834,01/01/2022,Entity 1, 323.04 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,25/04/2015,1,0,,,Subregion_49,M,39,,224,1
4187349,01/01/2022,Entity 3, 433.37 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,02/09/2019,03/12/2019,07/12/2019,,20/09/2016,1,0,,,Subregion_43,M,42,,0,0
